CodPessoa,theta,enem_score,acertos,total_itens
8698656,0.666,567,38,45
8698673,-1.007,399,15,45
8698681,-0.532,447,23,45
8698907,-0.461,454,24,45
8698964,-1.358,364,12,45
8698998,-1.557,344,9,45
8699059,-4.0,100,3,45
8699147,2.662,766,37,45
8699352,0.825,583,34,45
8699386,-0.06,494,21,45
8699470,2.781,778,37,45
8699654,-0.912,409,15,45
8699658,-0.432,457,25,45
8699659,-0.355,464,28,45
8699671,-0.688,431,14,45
8699673,0.647,565,34,45
8699705,-0.969,403,15,45
8699718,2.937,794,38,45
8699728,0.408,541,34,45
8699730,0.729,573,31,45
8699887,2.686,769,37,45
8699916,0.364,536,32,45
8699999,-1.279,372,13,45
8700045,0.74,574,41,45
8700057,0.428,543,35,45
8700095,0.36,536,30,45
8700121,2.723,772,37,45
8700140,3.07,807,36,45
8700213,-0.835,416,20,45
8700237,-0.714,429,12,45
8700372,-0.932,407,18,45
8700373,-0.699,430,18,45
8700389,0.497,550,36,45
8700495,0.497,550,36,45
8700503,-0.199,480,23,45
8700508,0.487,549,35,45
8700514,-4.0,100,0,45
8700525,-1.861,314,9,45
8700532,0.443,544,35,45
8700551,0.124,512,30,45
8700609,-4.0,100,1,45
8700834,-0.793,421,13,45
8700867,2.401,740,39,45
8700899,0.004,500,15,45
8700964,-1.966,303,10,45
8701041,-0.362,464,18,45
8701044,-0.995,400,17,45
8701070,0.303,530,30,45
8701116,-0.859,414,15,45
8701394,-0.364,464,21,45
8701396,-0.861,414,15,45
8701401,-1.285,371,12,45
8701512,-1.876,312,9,45
8701535,-1.433,357,13,45
8701591,-0.586,441,23,45
8701600,-0.298,470,24,45
8701605,-0.755,424,20,45
8701606,-0.858,414,17,45
8701609,-0.769,423,20,45
8701612,-0.837,416,17,45
8701614,-0.228,477,17,45
8701621,0.355,536,28,45
8701626,-0.819,418,21,45
8702094,0.237,524,28,45
8702116,-1.566,343,11,45
8702377,-0.149,485,16,45
8702451,2.781,778,37,45
8702471,-1.02,398,15,45
8702542,-0.48,452,13,45
8702555,-1.606,339,9,45
8702607,0.335,533,31,45
8702632,0.169,517,25,45
8702645,-1.306,369,12,45
8702650,0.61,561,32,45
8702669,0.351,535,26,45
8702731,-0.624,438,19,45
8702735,-1.232,377,12,45
8702745,-1.953,305,10,45
8702771,-0.485,452,22,45
8702784,-0.975,402,18,45
8702788,-0.586,441,22,45
8702799,-0.613,439,19,45
8702804,0.239,524,23,45
8702818,-0.977,402,16,45
8703043,-4.0,100,0,45
8703184,0.557,556,30,45
8703203,-1.372,363,13,45
8703243,-0.863,414,17,45
8703297,-0.264,474,23,45
8703363,-0.653,435,22,45
8703483,1.15,615,36,45
8703513,-0.215,479,24,45
8703597,0.381,538,32,45
8703748,-0.757,424,19,45
8703808,-1.255,375,16,45
8703816,-1.503,350,11,45
8703820,0.322,532,31,45
8703825,-0.733,427,15,45
8703852,0.687,569,38,45
8703957,-2.181,282,9,45
8704052,-1.423,358,12,45
8704077,0.582,558,31,45
8704188,-1.391,361,11,45
8704193,-1.113,389,15,45
8704204,0.514,551,33,45
8704205,-2.822,218,7,45
8704211,-0.793,421,24,45
8704273,-4.0,100,0,45
8704354,0.401,540,32,45
8704362,0.344,534,35,45
8704974,-0.905,410,17,45
8704979,-1.063,394,14,45
8704980,-0.958,404,14,45
8704981,-1.417,358,12,45
8704993,-0.821,418,16,45
8704998,-0.375,462,21,45
8704999,-0.729,427,16,45
8705002,-1.285,371,10,45
8705095,-1.079,392,13,45
8705167,-0.647,435,16,45
8705821,-4.0,100,7,45
8705822,-1.246,375,12,45
8705825,-1.336,366,13,45
8705826,-1.627,337,11,45
8705828,-1.837,316,8,45
8705829,-1.067,393,12,45
8705830,-1.568,343,11,45
8706003,-0.968,403,12,45
8706024,-2.363,264,9,45
8706027,-1.155,385,15,45
8706046,-1.071,393,13,45
8706050,-1.121,388,11,45
8706055,-1.304,370,13,45
8706057,-0.536,446,18,45
8706072,-1.152,385,15,45
8706075,-1.33,367,11,45
8706087,-1.618,338,11,45
8706088,-0.649,435,17,45
8706109,-1.538,346,14,45
8706114,-1.301,370,14,45
8706118,-1.06,394,14,45
8706121,-1.07,393,16,45
8706142,-1.099,390,16,45
8706145,-1.356,364,9,45
8706149,-0.734,427,17,45
8706551,-0.252,475,23,45
8707173,2.094,709,39,45
8707643,4.0,900,40,45
8709469,3.323,832,39,45
8709763,0.164,516,28,45
8709887,0.687,569,38,45
8710030,-0.026,497,28,45
8710497,0.687,569,38,45
8710902,-1.026,397,12,45
